;dXeYYT;Lucina Melmar;3578 Evergreen Lane;42;-2;0;
53056112B;qlgnBLMH;Gibbie Cottey;821 Debs Junction;37;-8;0;
53057858V;DJ16kgQ79S;Erhard Drayn;924 Portage Circle;38;-7;0;
53066104A;z3K38gGa;Hettie Vasechkin;429 Goodland Place;40;-6;0;
53073318H;xYEavJZmF;Doralia Seligson;1 Daystar Park;41;-7;0;
53082939Z;Ryzyo4;Gabriella Blockwell;81 Old Shore Street;39;-1;0;
53092096G;x2ouCgZUN;Dalston Whitlam;99501 Mayer Center;39;-2;0;
53092544O;x8GD6O;Willabella Reinhardt;5283 Mockingbird Center;42;-1;0;
53127640I;JtCZ120OlJ;Lezley Varsey;150 Pond Circle;36;1;0;
53134721Z;ZcwwKi4Vr;Harriet Dougary;81884 Melrose Parkway;42;-9;0;
53139443V;asI0nDg;Catlee Studd;69 Artisan Circle;39;-6;0;
53144723A;KpCgL5;Parker Coley;458 Johnson Trail;38;-6;0;
53150857L;a7xKMP;Thorin McVeighty;1 Doe Crossing Street;39;-9;0;
53157517X;ZoujmjiA;Felecia Suttling;07435 Upham Parkway;42;-0;0;
53166272F;aSpEKJr;Bartholomew Newland;2110 Birchwood Terrace;37;-0;0;
53172643J;0w3C23hF2t32;Andrei Tym;476 Summerview Crossing;43;1;0;
53175993M;4PfZVcN6Jq;Rebecka McCromley;04773 Paget Parkway;43;-4;0;
53178432K;KyVXCrXPg;Wilt Mathet;0405 1st Hill;39;-3;0;
53179957J;cvJrzi;Keri Kitchingham;87 Dixon Hill;41;1;0;
53187762X;VMAFw5DT1xV;Adrianna Burnell;162 Logan Parkway;36;-7;0;
53195801X;jxwI0LQBdq;Clayborn Licciardi;808 Morningstar Parkway;38;2;0;
53207866D;U0vsSIhY;Teddy Seine;2329 Novick Circle;41;-3;0;
53217027U;MD38HrOVVu;Agathe Tamblingson;73 Commercial Plaza;40;-1;0;
53225735N;UEdILP2;Derrek Longland;7091 Jay Plaza;38;-5;0;
53230262I;uY4WWsepi;Quintana Boyall;56594 Valley Edge Way;42;-1;0;
53233951Z;zKOvzm3hm;Alverta Simpkiss;93 Jenifer Circle;36;1;0;
53239543X;A9RYRc;Selma Furlonge;9 Morrow Crossing;41;-4;0;
53253090I;5sXVhnlFKgLa;Sashenka Snedker;1385 American Ash Street;41;-8;0;
53255105H;f6IQ0dVhJb6A;Killie Revening;60 Maywood Crossing;42;-0;0;
53255991A;Jadff6w5f7;Rickie Boyer;0 Surrey Street;40;2;0;
53258712Q;Y47JnI0q;Nat Westnedge;7 Waywood Street;40;-5;0;
53261755O;UaIAU6R3cIV;Gennifer Evison;7 Katie Crossing;38;-2;0;
53264021B;xV8SvR;Lilia Walker;93788 Everett Avenue;42;-3;0;
53266313M;qZlVdtHnO;Clemmy Cregeen;35 Texas Alley;37;0;0;
53267433G;t4aQW8eYi;Evangelin Camocke;2161 American Ash Point;42;1;0;
53278662L;cuF4skwwG5I;Yelena Pechet;45429 Forest Run Plaza;36;2;0;
53285638N;evldZrNrUC;Cece Blucher;35310 Prairieview Terrace;40;2;0;
53296894P;5656G6;Jorgan Sycamore;0 Dapin Street;41;-6;0;
53303470V;484MOfnkZFi;Haydon Liversedge;85546 Bartelt Alley;38;-0;0;
53310627S;72xGXu;Sol Delea;8 High Crossing Parkway;36;-6;0;
53315731Z;z9AbeUbh;Sharyl Yashnov;1080 Northport Trail;42;1;0;
53327375T;UJlAbuq;Sybyl Loble;789 Jay Point;41;-3;0;
53334136Q;v0mAsLYsIGf2;Gunilla Raitt;127 Old Shore Crossing;38;-2;0;
53347986F;OfOLK2k;Alyse Pearcy;882 7th Circle;38;-5;0;
53354267C;RReFAy;Leola Greyes;951 Stone Corner Avenue;42;-1;0;
53361553K;KLDhPs7POrQL;Jeremy Garlette;17 Mariners Cove Pass;39;-9;0;
53369089N;e0XacqhVX;Hastie Merida;82 7th Point;37;-4;0;
53380173F;YT73HxDv;Morie Jannasch;3103 Mockingbird Place;38;3;0;
53382085Q;01dG4I8U;Francine Harry;9 Southridge Street;42;-7;0;
53393206H;8mXGXTjKr;Conny Kiellor;7558 Knutson Plaza;38;-7;0;
53403837F;TEGZiHI;Hillary Kelk;583 Ryan Point;36;-3;0;
53407501W;V6NUhhISetpA;Bibbie Pykerman;7 Tomscot Circle;41;-7;0;
53409756L;Ei3eo1fA;Tressa Laflin;5990 Brown Place;36;-8;0;
53415123D;YS7Pzy8r;Diarmid Qusklay;6 Dottie Hill;40;-4;0;
53422129B;6Go41uM;Vanny Brisley;01 Shelley Hill;36;1;0;
53441986G;nFygQrDYTX;Tally Wethey;606 Arizona Trail;36;-7;0;
53462807X;t7HUpXLagib;Hewie Danihelka;4 Fair Oaks Hill;37;0;0;
53462952E;b7xSrhomf;Madelena Ashall;3 Hooker Point;42;-7;0;
53485131S;s9PCoFuvSymH;Jennifer Crichmere;72 Golf View Alley;39;-7;0;
53493777H;8t9bwRvfV;Dallon Bradden;87 Loeprich Terrace;41;2;0;
53520639E;Gf4fvs35l;Danielle Luis;594 Rockefeller Park;36;2;0;
53521413B;ZNJQYIQk;Michaeline Kisby;03102 Alpine Court;36;3;0;
53527262M;8Av7hmVey86;Danella Foran;279 Continental Center;42;-6;0;
53531946S;ZMEK7jLTdeDj;Rog Marchent;8326 Manufacturers Plaza;39;0;0;
53533405Z;6yuhK6uNLDC;Kalil Phin;807 Weeping Birch Alley;42;-1;0;
53538097S;PPssMejrz4j;Timmy Eastope;250 Fuller Junction;40;1;0;
53540199Q;cS1I1sas;Berty Sebastian;439 Scofield Junction;39;-4;0;
53604407F;j7yZa1;Shepperd Durdy;264 Division Pass;36;0;0;
53611976F;BL1jsHIieBvl;Walther Kenafaque;21 Corscot Plaza;41;0;0;
53620095N;qbsHxQkgbF6;Suzy Vasyutin;6495 Rutledge Lane;36;-0;0;
53636194O;SeZixx4Q;Sorcha Mulroy;7282 Charing Cross Avenue;37;-5;0;
53638718A;9n5rSMz7hK;Alessandra Crassweller;841 Buhler Pass;38;2;0;
53640878X;Oggfv6eyVQK;Robert Beaman;7 Stang Parkway;37;-4;0;
53650437V;PQM7cTh2IIp;Martita Lopez;657 Westport Park;41;-3;0;
53657857G;OxuwYwPZ;Brooks Brecknell;3988 Merry Circle;39;-1;0;
53669219M;RKQI7h;Dacia Helks;4276 Linden Center;41;-5;0;
53669832X;Ry6S1aC;Ara Jinkin;50 Stone Corner Street;38;0;0;
53682699E;FVByaY8bOhZV;Marillin Priden;07 Anthes Center;39;2;0;
53712860A;36NEPq;Desi Sollner;63 Del Sol Pass;39;-3;0;
53716388X;4vTpqP;Elliot Grigorescu;9733 Pearson Park;38;-8;0;
53724011D;UZlZN3f;Flo Boylan;2 Golf View Way;42;1;0;
53735374B;Pr0YpGo0mnS;Gasparo Draisey;9512 Waubesa Place;39;-5;0;
53735794T;omdGez4Bko;Nealon Culpan;017 Mcbride Parkway;41;-4;0;
53748613T;xJqr7FXRa;Tillie Chattock;97 Lake View Pass;38;-1;0;
53754906I;gJN18f28;Simon Margeram;425 Shopko Way;37;-4;0;
53755350H;Atf0FMk;Marti Dredge;8370 Texas Lane;38;-3;0;
53757620D;7ugG7oXhY3;Chrissy Gladdish;6006 Dakota Point;38;-6;0;
53761104Q;zqynXu7;Netty Patel;8509 Dottie Alley;39;1;0;
53779192S;ywJrUPN;Dirk Libero;92 Kingsford Point;39;-1;0;
53783084R;QiFLg2CvKeV;Dwight Stannah;504 Longview Avenue;40;-8;0;
53793955U;kdeRUu6l6CIv;Elise Hallick;6 Dorton Crossing;38;-1;0;
53794895Q;WtR44j;Patrice Beynke;05 Dexter Terrace;42;-1;0;
53801132Y;ui8cX6;Malcolm Ortega;57 Fallview Parkway;39;1;0;
53804564Q;qB2SokBd;Mattheus Breen;7 Donald Terrace;41;-0;0;
53805105X;0UFuv6rZGPa;Meridith Gulk;19 Forest Dale Street;36;2;0;
53810775V;YKUwfejGtE;Nanine Rosbottom;97 Chinook Alley;40;-4;0;
53819513G;rcV8FWgTCk;Dedie Mowsley;53 Lighthouse Bay Terrace;39;-3;0;
53823649A;2l3ZXAerbWZ;Arvin Ramas;754 Packers Alley;41;-2;0;
53830581I;lrop41L;Shani Mollin;414 Hagan Point;36;-3;0;
53875742Y;pOsmz3;Lesley Radmer;40720 Tennessee Junction;41;2;0;
53892194N;wjxevgx;Aloise Durno;15 Schmedeman Crossing;41;-8;0;
53893262W;bMEyvBqVdd;Dermot Pallant;75994 Katie Street;43;2;0;
53893571O;NopqpODcZ;Dallis Dubarry;2178 Alpine Street;40;-4;0;
53899504H;pKN2EiPl;Rafi Gibke;4 Ramsey Terrace;38;-6;0;
53900199C;oqe4ZylTJ;Carma Dreus;6783 Carey Way;41;-1;0;
53902747W;ZP7iMlA;L;urette Gapper;36;-5;0;
53907151U;RXIGUKPhr;Cozmo Gaine of England;98 Magdeline Plaza;42;1;0;
53907728X;F0ttLiq;Farr Oxe;9 Mariners Cove Park;41;1;0;
53908599T;E8huKahMXZ;Joelynn Reiach;32577 Oriole Terrace;42;-6;0;
53914126K;DbVdS0sD;Bunnie Verrechia;64 Heffernan Junction;37;-7;0;
53919852A;173nt9;Evan Asaaf;255 Elka Circle;39;-0;0;
53925995P;E2eUWCt;Poul Yakovlev;0947 Myrtle Plaza;43;-4;0;
53928648E;1pxbAOQy0;Sancho Segrott;4 Kim Hill;36;-1;0;
53951610D;ecWumPaOwIT;Alfreda Iaduccelli;30859 Arizona Road;37;-7;0;
53956712Q;YUVPoV;Orelle Luard;77730 Sullivan Point;42;0;0;
53963180T;kJxr6R28wD6y;Cirstoforo Casbon;1 Mcguire Point;41;-9;0;
53970964F;f3JwduMV6a;Hillary Lithgow;27 Walton Court;36;-7;0;
54016961I;sTaoQfOUS3;Gaultiero Malimoe;2 Melby Court;37;-0;0;
54023459A;jfQOk8;Gillan Whatford;5460 Sachtjen Hill;36;-2;0;
54035642H;BjE3f7G;Alec Bastard;436 Brown Plaza;38;-2;0;
54036667P;gIkH0pw1ng;Beckie Gumbley;2437 Comanche Park;38;0;0;
54047475D;8hEt7c;Pincus Brookfield;32 Bay Place;37;-8;0;
54053929T;TVFJdY3MZM5;Sly Brownhall;98016 Rutledge Crossing;37;-2;0;
54055970B;ZoDmW6J;Jacob Rehn;43548 Summer Ridge Lane;36;1;0;
54064120E;tMiKuA5;Neall Mugg;964 Marcy Place;36;-2;0;
54073122T;aaBCuG;Quintana Paternoster;7563 Mandrake Drive;41;-3;0;
54074443Y;C88hrIqxd;Fey Daile;4742 Loomis Pass;41;-1;0;
54086709E;QM8tKBHALB6;Pierre Seedull;6721 Morrow Junction;39;-7;0;
54091229R;c9QvL0IK;Elmore Samett;34 Kensington Street;39;-3;0;
54091243X;vLdXgVDqp;Mandy Roseburgh;53045 Veith Junction;38;-2;0;
54092512C;6l75roS8eN;Shannon Adrienne;540 Quincy Alley;37;-6;0;
54099554E;c07wF7k0Y;Merell Meade;87 Delladonna Center;38;1;0;
54123200J;IMED5mDhHHeK;Barbabra Satteford;87124 Hudson Trail;38;-7;0;
54132953G;S1NqPUqiYr;Dallas Lambert;1 Fordem Hill;38;-1;0;
54149115F;AJKidM3zO1;Jesus Woolnough;02 Hoepker Avenue;40;-6;0;
54162288J;t3XMp2oQN;Ingaberg Kettlestringe;69 Mcbride Center;37;-3;0;
54172694G;uQ0LvqN;Kristy Memory;85460 Main Terrace;41;2;0;
54174853J;sQXsvJ2Ik5xB;Emelyne Gullis;872 Sachs Lane;36;-8;0;
54181646E;BLyo7OnuyYg8;Percy Jancey;5 Holy Cross Terrace;42;-5;0;
54189018W;K7zSkGcY;Siusan Arnopp;982 Sauthoff Lane;37;-0;0;
54197351Z;Nf4qMRrs;Rhianon Noton;80 Reindahl Hill;43;-7;0;
54210581D;vCeEEr;Temple Witton;013 Declaration Center;41;-3;0;
54219597W;kkMN2o;Tades McAuliffe;35460 Porter Circle;36;-0;0;
54224009Q;1U0tbT7;Lynsey Grisewood;8 Hazelcrest Alley;40;-4;0;
54232806R;FHWSnFww;Roda Swindall;0 Grover Drive;38;-3;0;
54235639X;J7yDXhG;Jonie Bettaney;26 John Wall Hill;39;-3;0;
54238928Q;gIIQ6SFYlJ;Patrizia Petranek;38 Sachs Drive;36;-4;0;
54270812C;n8uZZJTn;Melody Neward;23453 Fuller Road;42;0;0;
54276317S;k00sykp;Woodrow Gault;6 Oriole Lane;37;0;0;
54280544K;Sawi9VsL2;Arch Kleeman;55646 Melvin Way;38;1;0;
54280615K;HHjXdZ;Mabel Midson;176 Artisan Place;42;1;0;
54297429D;a9o74hSN;Rosalie Gamon;21 Spenser Drive;38;2;0;
54301751X;KKj3bsN;Florie Caffin;2 Moose Street;40;2;0;
54314502L;CYypVpmdlA;Albina Reichelt;8028 Porter Road;35;-6;0;
54316645C;AABc58g1;Hallsy Kirkness;4 Dixon Alley;41;2;0;
54318547E;0XPTG1YcyDA;Chrotoem Cabrales;98147 Luster Trail;41;0;0;
54323647Y;8Ky25PSiM;Erena Suart;3 Coleman Street;40;-0;0;
54327932O;sfwmqtN0LH;Ilysa Cregin;83 Lakewood Lane;37;-3;0;
54340534R;avSSqg8ZDIiG;Ricky Sansam;0364 Tennyson Lane;42;-8;0;
54412326L;WhsF1MPGzzi;Clemens Martinie;46 Corscot Center;38;-2;0;
54414486G;WYD5bGq;Blisse McCullough;32 Vernon Hill;42;-1;0;
54415876X;zdnxPCoyDxi;Alys Oke;2854 Reindahl Street;42;-6;0;
54425040O;aFqNt6sS;Rowney Throughton;4 Autumn Leaf Circle;38;2;0;
54434850D;paOyvklDIZ;Gregor Larmor;2215 Maple Parkway;39;-0;0;
54446033A;jfUuV6GthW6j;Burnard Bloodworth;36 Arizona Terrace;42;0;0;
54462243U;cU0eiPlTa;Mirna Gaitung;289 John Wall Plaza;36;1;0;
54469701U;MeKgapnJ3mjM;Brenna Parrish;9648 Harbort Pass;39;0;0;
54471614D;MZEKTbwe5;Chev Nowick;28879 Canary Avenue;42;-3;0;
54478585H;88JUTIn5;Glenn Mitchenson;1 Bobwhite Alley;38;1;0;
54484651F;AmoOHjXspLG;Tab Canto;41545 Pankratz Point;38;2;0;
54525966N;GDCkX7M4C;Brnaby Strut;0435 Crowley Pass;40;2;0;
54538188I;m6TwjTv;Preston Hymor;08 Mosinee Junction;40;-4;0;
54541671U;fJxsmgEU;Ki Olesen;11886 Dapin Way;39;-0;0;
54550004F;rxBmAY80bG0;Wyndham Seebert;21901 Pankratz Terrace;38;1;0;
54557427B;pHbhHNA6;Odelia Boxhill;0872 Ramsey Point;41;-7;0;
54574797V;24NzeA;Darbie Vandenhoff;75268 Hoffman Court;41;-2;0;
54578635D;2IWq0e;Mommy de Keep;8881 Lakeland Point;38;-5;0;
54588685L;GXifwkg;Alix Hazeldene;283 Morning Center;40;1;0;
54614835K;SVIgYq;Fletcher Spread;418 Mccormick Crossing;36;-4;0;
54616497T;1lUsNVyhEczJ;Benedict Sawood;45 Dunning Circle;38;1;0;
54628957W;ZygmU73cdLNz;Alys MacDaid;34582 Larry Drive;42;-3;0;
54650338K;TX9QxWcCW;Loree Algy;6993 Delaware Hill;42;2;0;
54662352P;M0ygKz;Susannah Cucinotta;6 Ryan Parkway;40;1;0;
54676296I;gu3T6RZuLl;Susette Thirst;022 Mitchell Way;39;-7;0;
54682936A;ViWOsumzVN;Zsa zsa D'Alessio;39815 Mccormick Plaza;42;-2;0;
54696079G;5CNI0to2BVUY;Matty Orhrt;19557 Cottonwood Crossing;41;-2;0;
54698697M;p0hvr8MDXP;Kayley McVeagh;966 5th Plaza;39;-7;0;
54700778M;YDajbw9m;Rodina Liddicoat;9 Roxbury Park;36;-6;0;
54704441Z;RLGkmCNc5;Raddie Dillingston;6843 Grasskamp Lane;37;-1;0;
54707005S;obowcBjA;Killie Thunnerclef;14461 Roxbury Street;39;-6;0;
54713138L;BYhABqy;Kearney Garci;814 Donald Circle;35;-8;0;
54715127O;TLBFZGQW;Erinna Hambridge;1153 Jay Trail;41;-3;0;
54715339X;LijCmWo;Nanci Wilderspoon;543 Sunnyside Plaza;40;-3;0;
54724217J;Tm3KYPoV;Vanny Bletsor;8 Jenna Lane;40;-5;0;
54726010Z;ial1eB;Tish Blackey;59203 Armistice Parkway;36;-3;0;
54731819W;ZijQvf8Tyokg;Ruby Prinett;05688 Chinook Drive;40;-4;0;
54742658D;zwZn9ODXw8O;Bob Sisson;9 Tony Pass;36;-6;0;
54758708Q;3N3uOJ9ExIg;Tanney Wilden;55 1st Road;41;-0;0;
54762513P;7Bvm6lm9;Bradney Schirok;6727 Lukken Court;36;-6;0;
54784234B;mBKGdZ2;Petronilla Stoffers;24 Bluestem Terrace;39;2;0;
54804613B;17nHwsTT4XzH;Harris Whatmough;48 Hoffman Hill;37;-4;0;
54807120R;YdUjPunK5Bk4;Irwinn Corrado;8 Lindbergh Pass;37;-7;0;
54824234M;GfFody9EUkEq;Moll Squibbes;47 Columbus Court;39;0;0;
54828468J;py2ghF68VM;Rica Giveen;4875 Victoria Crossing;38;-1;0;
54847922A;1LggIXUcCp8;Christian Houldcroft;54 Bonner Drive;40;-1;0;
54852174Q;b9WXunjkEQG;Clementius Imlach;18384 Debra Pass;35;1;0;
54865346P;eKPsJC;Jan Tilford;140 Bashford Court;40;-8;0;
54870745D;APbTE4s;Renault Franzelini;166 Northwestern Lane;41;-9;0;
54880553A;JmE46czgkQ3;Lauri Fley;14531 Melvin Court;42;0;0;
54892790V;FDgwuyDkZ;Corrianne Readshall;9708 Northwestern Crossing;41;-5;0;
54901493J;lDhEojCgOz;Denna Shird;1 Kinsman Point;43;-2;0;
54902121K;tfgmmnPxdi2w;Coretta Belchamp;44979 Daystar Point;43;-7;0;
54905211P;MmyU4uUH6Hl3;Traci Ensley;1143 Kedzie Road;42;-6;0;
54915787J;f6dboGCVb;Osbourn Bernt;2657 Tomscot Alley;42;-8;0;
54922910C;oCxVhRr;Flemming Benoiton;3999 Miller Street;37;-7;0;
54945919I;qZ6uccVI1W;Bobbie Erskine;71 Melby Terrace;40;-7;0;
54948530N;LVlJBHkdtbM;Letti Carluccio;4636 Roxbury Crossing;38;-9;0;
54952410L;YPEim3RYW;Giulietta Buggs;56962 Esker Junction;36;-8;0;
54953131H;LRfaC0ngd;Wilbur Hinchon;9 Eagle Crest Crossing;41;1;0;
54962741U;HzZJvrpD;Gusty Guido;6 Evergreen Street;43;-2;0;
54966738O;I8xFi8PuXp;Cass Whitefoot;37 Thompson Place;40;-0;0;
55030326V;4RhpM3XdBCsc;Vincenty Gurton;06 Crescent Oaks Circle;42;-7;0;
55031170B;9kdgWDu;Shirline Pherps;30 Kim Terrace;37;-5;0;
55032667S;YRYLzi;Aleda Draisey;671 International Junction;38;-4;0;
55085001K;ZqLT3F9;Casper Luxen;40541 Prairieview Drive;39;1;0;
55096986A;0lopfz7dqke6;Tomasina Reijmers;377 Anthes Plaza;38;-3;0;
55114808W;UeQY3RHYZS;Aleta Grigg;40660 Hallows Crossing;39;-1;0;
55121206Q;9sF7FipiLceU;Erhart Mollindinia;21 Gerald Trail;36;-7;0;
55136201R;NS2034EOiv;Crawford Mitcheson;97310 Vernon Court;38;0;0;
55139860V;XBfUBV;Christina Comerford;9 Oak Valley Pass;37;-5;0;
55143120S;acu8EXBLgNh9;Dolores Torbet;7 Morning Street;37;0;0;
55167602K;3oWhX4nr;Ulla Kitchener;8468 Claremont Road;42;-9;0;
55179179Z;D2KgsppODTB;Man Stodhart;68 Manley Plaza;37;-1;0;
55187040W;1tSuM9;Eddy Moodie;500 Sheridan Point;40;-0;0;
55188403A;9mFq6X8J;Blane Milward;29 Acker Road;43;-3;0;
55193921B;eWwsBAX;Bartholomeo Mottershead;30 Monument Way;40;2;0;
55200234Z;6ABt6VnG;Pippa Munkton;8636 Bowman Circle;37;2;0;
55201744E;TVnO5YzXW;Shaine Rosenblum;7 Hansons Court;39;-6;0;
55204827A;ZCVBcQMxM9oz;Hedwiga Ferrarin;43 Ridgeway Lane;37;-7;0;
55213104N;05NIHQX5mq;Lemmy Raccio;1 Monterey Parkway;41;-7;0;
55221791C;Qr6zsGbb;Tony Pundy;570 Thackeray Center;42;1;0;
55230992I;EUPJmNFTh;Rolf Dietz;23 Morning Avenue;43;-1;0;
55233194G;zaM80b;Leora Licciardiello;146 Hoard Crossing;37;-6;0;
55237181D;XPpgPy;Oneida Morris;633 Ludington Circle;36;-0;0;
55239812A;SP6E50P1Bf;Thor Acey;79 Burning Wood Road;38;1;0;
55243492B;wjoHsiWUNXy;Ronnica Gomes;9843 Monica Lane;41;-5;0;
55248629C;WcQ7041jktAs;Hyman Duer;74 Debra Parkway;38;-3;0;
55249885Z;1K4tB4fIY;Rinaldo Flatte;0 Sage Road;36;0;0;
55252596R;CsPahre;Constantina Stegell;44776 Waxwing Plaza;37;3;0;
55264222C;erQB9E;Serene Geerling;39 Haas Drive;38;-5;0;
55264677E;hyx6SRbY;Berkly Andreolli;2428 Tennessee Parkway;40;-4;0;
55277454N;Vw7Psqf;Anastassia Bette;82598 Loeprich Trail;36;0;0;
55286290M;Ewh0UVrp;Maynard Reeve;01771 Golf View Plaza;38;2;0;
55333836D;0TDxspxB;Aggie Glancy;75 Becker Parkway;39;3;0;
55345498X;cGE4qMm;Asher Le-Good;3 Clyde Gallagher Terrace;41;-8;0;
55360053J;9GPFwcs8;Kerry Bromet;75890 Northport Street;38;-0;0;
55374042Y;mA3AVysP;Roley Mephan;0 Hauk Circle;38;1;0;
55374160V;r7mlAAsG;Samaria Hollidge;74 Susan Court;38;-2;0;
55378569J;E6VcbnOZq;Mala Kisbey;0 Hazelcrest Street;41;-2;0;
55427864S;CGWx3f;Zarla Bowling;04 Fairview Parkway;40;0;0;
55430073L;77eIv3;Corene Boyson;78 Valley Edge Street;36;1;0;
55437865A;QEDATHkNG6f;Dottie Moston;7 Maple Park;36;-1;0;
55459102P;OC0NQeEaJ;Cull Mackness;71 Fordem Court;42;-0;0;
55462413K;Z7Zdi8LNDkxi;Carita Abade;584 Fairview Point;35;3;0;
55477365H;tdLvnPPLr;Erika Bonnett;8 Laurel Center;39;2;0;
55497328L;JHpzIL1STYC;Raynor Clabburn;412 Vahlen Alley;39;-7;0;
55498008O;UyGZwJH;Florida Mularkey;7728 Pleasure Avenue;39;-4;0;
55529116C;ZnU5ltgJ;Ade Sugars;926 Forest Dale Hill;39;-9;0;
55536571Z;cA78eGXq0;Joe Pocknell;28197 Riverside Hill;42;-7;0;
55541317U;EWTQdC;Toni Bumpus;0392 Forest Run Road;39;0;0;
55545703E;ZYuKXCWD;Laurent Coomber;2785 5th Street;40;-1;0;
55578787L;BjOXnX;Almire Laughrey;399 Graceland Lane;41;-6;0;
55588937U;Lf2HQUtwQ;Heida De Freyne;666 Merchant Alley;38;0;0;
55590040N;PC2m2M8P6;Morley Impett;70 Annamark Park;40;-2;0;
55590342B;3GRVC5DEp8l4;Herby Casina;64753 Gerald Street;39;-6;0;
55618267C;z7c9f7oBfk;Fredra Caldairou;52961 Porter Hill;39;-9;0;
55624719P;tOpxmKzt;Bryon Killick;7 Cottonwood Hill;43;-4;0;
55644596I;0ZDzl65;Eamon Marjanski;197 Sachtjen Avenue;40;-3;0;
55645901J;P1lrsoFs;Any Hallagan;915 Gulseth Court;41;-0;0;
55652015W;pbBTK0kh;Kiley Sparshott;95194 West Plaza;38;-1;0;
55677576H;A3UzLMxxKEl;Martica Stanluck;983 Fieldstone Crossing;42;0;0;
55689292F;PSz55HY0y2;Tracy Rossi;2314 Vernon Center;42;-2;0;
55692666S;akdQbnVuqBr;Kean Pitman;52 Red Cloud Parkway;36;-5;0;
55697016C;UVslnURJ;Stepha Gomersall;17778 Bluestem Place;42;-9;0;
55706704C;koxObh9;Ingemar Daunter;350 Brentwood Center;39;-3;0;
55718533N;ANT24p4;Albertine Dalliwatr;4 Bartillon Plaza;36;0;0;
55727753Y;sCvm0x;Robbie Musker;48312 Moland Center;37;-9;0;
55753985J;2UCcjSuq;Carlyn Sparke;6850 Kinsman Street;39;-1;0;
55767638J;8y9msm87lcNs;Spense Gannicleff;62 Bashford Drive;38;-6;0;
55770407H;PU7DLAGPE;Ronnica Caig;52 Pennsylvania Point;40;-7;0;
55794179W;1wewnhC06pv;Lynnet McGreary;051 Hansons Circle;37;3;0;
55795453I;33nMqfuop7V;Lorrie Horley;2 Huxley Junction;37;-2;0;
55809822T;B8tHPoav;Buiron Abramovicz;29941 Summit Avenue;40;-0;0;
55817184G;WyzUPhX;Oralia Crab;99 Butternut Street;39;-9;0;
55825414I;s76LoGIb;Gifford Mattimoe;45 Golden Leaf Place;37;-5;0;
55826536F;CBLSTt;Russ Venners;6316 Corscot Point;42;2;0;
55843748L;whUVoeG;Alfredo Ferrick;9355 Hooker Alley;37;-6;0;
55875070F;7D8rPHLlcmyF;Sherwood Rockall;3587 Drewry Road;37;-1;0;
55880085X;9is6NT;Tedda Gibben;6721 Porter Court;38;-0;0;
55898232K;eaLVXH1a;Vevay Cutsforth;154 Nobel Point;37;-0;0;
55900614O;WpClrkEKo0;Nady Van Dale;5 Twin Pines Parkway;41;-7;0;
55919297D;2QpQnLNhNVoc;Caldwell Ravelus;29511 Nancy Street;40;1;0;
55923245E;oGXpnh9Qx;Reggi Elgey;62 Scott Street;36;-1;0;
55926922W;gG07y9wf;Kelsi Burkhill;2318 Derek Drive;42;-0;0;
55937415D;B4MsbINdM;Marika Allwood;14556 Hallows Drive;39;-9;0;
55953954A;dLAxXvm5J;Ardyth Eton;7 Northridge Parkway;41;-0;0;
55971571J;IRv1fTsf;Rani Guislin;23 Hanson Trail;36;-0;0;
55974473P;k0DTp1ecx4;Malva Glaserman;02579 Mandrake Junction;37;-1;0;
55978267F;9mTcTV;Umeko Coole;01896 Lindbergh Terrace;38;-0;0;
55981426V;e9tBhuW2en;Wilbur Thrower;10091 Lien Circle;36;1;0;
55982254I;go0R4B;Maryanna Meade;730 Mesta Parkway;37;-7;0;
55986114Y;Uqm4bGdxb;Julia Iwanowicz;78 Roxbury Terrace;42;-3;0;
55986895O;Lc0gZXd3;Crissie Chazerand;3 Sachs Point;43;-0;0;
55998083K;6HuBU4fbFT4;Erda O'Currigan;76 Meadow Valley Way;43;-8;0;
56013723Q;vGXkrGE24S;Raymund Braunes;96509 Village Green Plaza;43;-6;0;
56023590A;Gd28OctO;Anica De Benedictis;58 Kenwood Junction;37;-5;0;
56057847C;TfO69oFVo;Gerek Base;426 Arizona Way;40;2;0;
56072693N;7jeqlDITjgC;Alysia Lange;67 Ridgeway Crossing;40;-4;0;
56136261K;DIBuGFfCT;Estrellita Zolini;6559 Ohio Way;38;-8;0;
56145623A;52rS1MEejL2v;Gunar Atrill;5 Sunbrook Park;41;-0;0;
56160263A;2Q0npcd;Arlena Forth;5 Corscot Place;42;2;0;
56167747U;f8Z9xt;Alvera Dietz;39338 Esker Terrace;37;-5;0;
56170999J;bYtexAdV;Sidnee Hylands;35 Victoria Pass;37;2;0;
56182379W;BMOUvH;Traci Yarnley;47 Mosinee Way;39;-3;0;
56185556N;5Fzekl;Renata Halsworth;4551 Golf Course Pass;38;-8;0;
56187883L;o5VPhCU;Reese St. Queintain;101 Stone Corner Terrace;40;-7;0;
56192913R;TMu7evG;Carmelle Gavahan;7 Oak Valley Road;38;-7;0;
56193498H;GcfDxA;See Ivanichev;58953 Forest Dale Street;42;0;0;
56197668K;WMW2GP;Hadria Ramet;7566 Grasskamp Terrace;36;-0;0;
56221685H;pJHCuKaw;Dusty Gilliam;97926 Michigan Terrace;36;-4;0;
56222435F;1bLtgIyuyVKV;Waldo Yeo;260 Anzinger Point;43;-2;0;
56226426N;5EfG64iFi;Clo Shepheard;2183 Gerald Junction;42;-8;0;
